timestamp,rmssd,sdnn,lf_hf_ratio
0,20.978455623065948,33.28115830386429,4.446047259029374
1000,30.50878779651037,30.739854581112915,4.379198120424151
2000,19.366077901140084,24.472586105745446,4.796040395730037
3000,41.018072452041444,29.150676885633803,5.050310886746902
4000,11.650017735614465,24.812375777003272,7.441411387623147
5000,12.955565587325781,26.691437977900797,5.488017006719266
6000,17.855766071220007,24.277744428008933,2.8754856997331064
7000,39.936762564232,30.368424571213765,5.664098123681205
8000,21.37663625816316,32.22360308381304,7.735217306289778
9000,48.607643660271656,57.16887290560201,6.906392670498252
10000,41.918611912503174,27.64896620185373,6.592909933378898
11000,17.92310420863764,24.50296313992899,4.9672041288835755
12000,43.92074880013402,70.65320017397809,5.908234425528086
13000,20.415824001362406,29.191869110558315,3.2941303931577144
14000,17.674943527509726,24.96564411807692,7.562579755247687
15000,38.14717053813807,30.918036609606517,6.468887894224298
16000,20.86114415761627,33.09505015926873,5.063978049263487
17000,43.79476104128193,33.302095911190634,6.2620449517337144
18000,20.007883738383352,30.160315979860446,7.999989761826663
19000,19.4787094566853,26.484393225730436,3.2235807556053104
20000,40.396011101509146,26.644678692287318,6.150889292078786
21000,21.74815928631903,31.096928502098752,3.8613002831220964
22000,12.641770779717227,26.924625712300617,7.483672433661031
23000,16.349226494466627,22.2293650602902,3.001026524066824
24000,11.417735811812944,23.523155759961544,5.723883112158104
25000,18.119838537132154,24.636792805564834,3.1974651023270266
26000,16.848794481276773,23.798718574884163,6.318537104185352
27000,16.88379200897,23.8481521597803,7.163828009411864
28000,45.265263670971855,29.856373774232708,6.055681356434153
29000,39.75276588115912,63.948366136741534,5.99717070382055
30000,38.3569809261825,27.25949539912903,6.002915666655647
31000,19.637897515268005,31.154437090311404,4.832475016250397
32000,14.76359183498808,20.073443389639475,2.679586577563958
33000,16.96609857851543,24.259227988436862,3.373121428064025
34000,20.020402561432732,27.370213345794877,4.107911735118028
35000,12.346778767919107,25.437197433755564,5.070783371621356
36000,17.537401253282056,23.84487699157757,3.0945748180502197
37000,44.83757735336301,52.73478753722379,5.809502365902841
38000,28.45076022576425,28.6662399665102,4.755274418325673
39000,18.40761916639356,25.02807618935653,2.59293480318006
40000,20.299133715340936,30.59935248412182,7.355726632617643
41000,20.363895266644562,29.11761803811279,3.229017194391148
42000,18.9545056949909,25.771655116155276,3.2262966958669175
43000,21.007585050577433,30.038007434059683,2.921223428957406
44000,31.065816814009306,31.30110241270772,4.303849822835105
45000,17.134459180801482,23.42479387736092,5.583974779465756
46000,41.51726160196696,27.38424080507099,5.995500358343726
47000,11.487099305621118,24.465389755373742,6.670177257601929
48000,48.618652945433595,57.1818212482249,7.144439581726556
49000,42.045707718902435,67.63691159817213,5.06881528343276
50000,19.696577137551085,28.16344330197187,3.1987558924095136
51000,19.627724881512417,29.587256310197635,7.825401637243307
52000,19.47575924488717,24.61118857046477,5.014620327059992
53000,19.007689971505844,25.98571772642768,5.06925192023734
54000,12.820062202568607,26.412269911816523,5.1920977047658905
55000,43.502639851063904,51.16472845476234,6.56305100366813
56000,23.406861872859395,33.4686490261589,3.2799456016159723
57000,18.06996754529239,25.837611422346257,3.2535848007063812
58000,17.549293752962168,23.86104673006385,2.705871062698111
59000,48.6741321201177,78.29973973410122,6.335876252443046
60000,48.752950748783455,57.33977282688751,6.046038752976884
61000,19.68489640404262,29.67343789777117,7.027522832535462
